GENDER,AGE,DEBT,MARRIED,BANK_CUSTOMER,EDUCATION_LEVEL,YEARS_EMPLOYED,PRIOR_DEFAULT,EMPLOYED,CITIZEN,INCOME,APPROVED
1,36.08,2.54,0,1,ff,0,0,0,1,1000,No
1,29.25,13,0,1,d,0.5,0,0,1,0,No
0,19.58,0.665,0,1,w,1.665,0,0,1,5,No
0,22.92,1.25,0,1,q,0.25,0,0,1,809,No
0,27.25,0.29,0,1,m,0.125,0,1,1,108,No
0,38.75,1.5,0,1,ff,0,0,0,1,0,No
1,32.42,2.165,1,0,k,0,0,0,1,0,No
0,23.75,0.71,0,1,w,0.25,0,1,1,4,No
1,18.17,2.46,0,1,c,0.96,0,1,1,587,No
1,40.92,0.5,1,0,m,0.5,0,0,1,0,No
1,19.5,9.585,0,1,aa,0.79,0,0,1,350,No
1,28.58,3.625,0,1,aa,0.25,0,0,1,0,No
1,35.58,0.75,0,1,k,1.5,0,0,1,0,No
1,34.17,2.75,0,1,i,2.5,0,0,1,200,No
1,31.58,0.75,1,0,aa,3.5,0,0,1,0,No
0,52.5,7,0,1,aa,3,0,0,1,0,No
1,36.17,0.42,1,0,w,0.29,0,0,1,2,No
1,37.33,2.665,0,1,cc,0.165,0,0,1,501,No
0,20.83,8.5,0,1,c,0.165,0,0,1,351,No
1,24.08,9,0,1,aa,0.25,0,0,1,0,No
1,19.42,7.25,0,1,m,0.04,0,1,1,1,No
0,17.92,10.21,0,1,ff,0,0,0,1,50,No
0,20.08,1.25,0,1,c,0,0,0,1,0,No
1,19.5,0.29,0,1,k,0.29,0,0,1,364,No
1,27.83,1,1,0,d,3,0,0,1,537,No
1,17.08,3.29,0,1,i,0.335,0,0,1,2,No
1,36.42,0.75,1,0,d,0.585,0,0,1,3,No
1,40.58,3.29,0,1,m,3.5,0,0,0,0,No
1,21.08,10.085,1,0,e,1.25,0,0,1,0,No
